,Family,Genus,CommonName,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert
0,Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,1.0,0.0,1.0,0.0,1.0,0.0,0.0
3,Cercopithecidae,Allochrocebus,Preuss_s_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Atelidae,Alouatta,Ursine_Red_Howler,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,Atelidae,Alouatta,Red_handed_Howler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Atelidae,Alouatta,Paraguayan_Howler,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Atelidae,Alouatta,Spix_s_Howler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Atelidae,Alouatta,Brown_Howler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Atelidae,Alouatta,Guianan_Red_Howler,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,Atelidae,Alouatta,Amazon_Black_Howler,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,Atelidae,Alouatta,Mantled_Howler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Atelidae,Alouatta,Central_American_Black_Howler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Atelidae,Alouatta,Bolivian_Red_Howler,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15,Atelidae,Alouatta,Colombian_Red_Howler,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,Atelidae,Alouatta,Maranhão_Red_handed_Howler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Aotidae,Aotus,Azara_s_Night_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
18,Aotidae,Aotus,Brumback_s_Night_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19,Aotidae,Aotus,Gray_legged_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Aotidae,Aotus,Lemurine_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Aotidae,Aotus,Andean_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Aotidae,Aotus,Ma_s_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Aotidae,Aotus,Black_headed_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Aotidae,Aotus,Humboldt_s_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Aotidae,Aotus,Spix_s_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Aotidae,Aotus,Panamanian_Night_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Lorisidae,Arctocebus,Golden_Angwantibo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Lorisidae,Arctocebus,Calabar_Angwantibo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Atelidae,Ateles,White_bellied_Spider_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Atelidae,Ateles,Black_Spider_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Atelidae,Ateles,Brown_headed_Spider_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Atelidae,Ateles,Central_American_Spider_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Atelidae,Ateles,Variegated_Spider_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Atelidae,Ateles,White_whiskered_Spider_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Atelidae,Ateles,Red_faced_Black_Spider_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Indriidae,Avahi,Betsileo_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Indriidae,Avahi,Bemaraha_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
